# t_myr=4000.000000
index,depth_m
2168,2599.3228
2169,2599.3228
2170,2599.3228
2171,2599.3228
2172,2599.3228
2173,2599.3308
2174,2599.3308
2175,2599.3308
2176,3382.5767
2177,2599.3308
2178,2599.3308
2179,2599.9978
2180,2599.9978
2181,2599.3308
2182,2599.3308
2183,2599.3308
2184,2598.3997
2185,2599.953
2186,2598.3997
2187,2600
2188,2598.9497
2189,2598.9497
2190,2599.9978
2191,2598.3997
2192,2598.3997
2193,2600
2194,2598.3997
2195,2598.3997
2196,2600
2197,2598.3997
2198,2598.3997
2199,2600
2200,2597.613
2201,3382.6238
2202,2597.613
2203,2598.9497
2204,2600
2205,2600
2206,2600
2207,2600
2208,2600
2209,2600
2210,3382.6238
2211,3381.5735
2212,2598.9497
2213,2600
2214,2598.9497
2215,2600
2216,2600
2217,2599.3228
2218,2599.3228
2219,2599.3228
2220,3381.9465
2221,2599.3228
2222,2599.3228
2223,3706.1199
2224,2599.3228
2225,2599.3228
2226,3381.9465
2227,2598.3997
2228,3381.0234
2229,3381.0234
2230,2599.3228
2231,2599.3228
2232,2599.3228
2233,2599.3228
2234,2599.3228
2235,100
2236,882.6238
2237,100
2238,2599.953
2239,2599.953
2240,2599.9978
2241,2599.9978
2242,2599.9978
2243,2599.9978
2244,2599.9978
2245,2599.9978
2246,2598.3997
2247,2598.9497
2248,2599.3308
2249,2599.9978
2250,2598.9497
2251,2599.9978
2252,2600
